# 性能日志 - 比特币密钥碰撞检测
# 创建时间: 2026-04-21T01:52:20.479782
# 格式: timestamp,speed,total_checked,matches,cpu_usage,memory_usage,threads
1776708525.065149,2723.3123050512027,1000,0,93.4,235.08203125,5
1776708525.9896674,2262.6355041875145,1000,0,109.2,235.78515625,5
1776708526.993403,2215.8073771422805,1000,0,93.3,241.52734375,5
1776708527.7482846,2862.3652861338896,1000,0,93.3,242.53125,5
1776708528.756413,2916.0341750564357,1000,0,93.4,240.6953125,5
1776708529.4329271,3098.9333319541593,1000,0,93.2,142.09375,3
1776708530.27441,2723.3123050512027,1000,0,77.6,235.08203125,5
1776708531.189952,2262.6355041875145,1000,0,93.6,235.78515625,5
1776708532.1989236,2215.8073771422805,1000,0,93.6,241.52734375,5
1776708532.945543,2862.3652861338896,1000,0,93.3,242.53125,5
1776708533.9527755,2916.0341750564357,1000,0,93.6,240.6953125,5
1776708534.6279435,3098.9333319541593,1000,0,109.1,142.09375,3
1776708535.4808896,2723.3123050512027,1000,0,93.6,235.08203125,5
1776708536.3935833,2262.6355041875145,1000,0,109.0,235.78515625,5
1776708537.3879542,2215.8073771422805,1000,0,109.1,241.52734375,5
1776708538.1401672,2862.3652861338896,1000,0,78.0,242.53125,5
1776708539.1379802,2916.0341750564357,1000,0,93.6,240.6953125,5
1776708539.8254015,3098.9333319541593,1000,0,93.5,142.09375,3
1776708540.6622465,2723.3123050512027,1000,0,93.7,235.08203125,5
1776708541.5706592,2262.6355041875145,1000,0,108.8,235.78515625,5
1776708542.585049,2215.8073771422805,1000,0,93.6,241.52734375,5
1776708543.336305,2862.3652861338896,1000,0,93.6,242.53125,5
1776708544.3111064,2916.0341750564357,1000,0,93.6,240.76953125,5
1776708545.0206985,3098.9333319541593,1000,0,93.6,142.09375,3
1776708545.8463142,2723.3123050512027,1000,0,93.3,235.08203125,5
1776708546.7524216,2262.6355041875145,1000,0,93.4,235.78515625,5
1776708547.7669935,2215.8073771422805,1000,0,93.4,241.52734375,5
1776708548.5493357,2862.3652861338896,1000,0,93.4,242.53125,5
1776708549.4982815,2916.0341750564357,1000,0,109.1,240.76953125,5
1776708550.216546,3098.9333319541593,1000,0,109.1,142.09375,3
1776708551.0183582,2723.3123050512027,1000,0,93.3,235.08203125,5
1776708551.9274857,2262.6355041875145,1000,0,93.5,235.78515625,5
1776708552.954286,2215.8073771422805,1000,0,108.9,241.52734375,5
1776708553.7348597,2862.3652861338896,1000,0,78.0,242.53125,5
1776708554.6925716,2916.0341750564357,1000,0,93.4,240.76953125,5
